"topic","label"
68,"Georgia Politics"
69,"Goldman Sachs"
7,"Britney_Spears"
70,"Mortgage"
71,"Stock_market"
72,"Opinion"
73,"Terrorism"
74,"Marine_Biology"
75,"Literary"
76,"Murder"
77,"Wildfires"
78,"Politics"
79,"COVID-19"
8,"Investigation"
80,"Weather"
81,"Senate"
82,"JobTraining"
84,"LGBTQ"
85,"Movie"
86,"Crime"
87,"Architecture"
88,"Middle_East"
9,"Traffic"
90,"SpaceX"
91,"Politics"
93,"EuropeanUnion"
94,"Vaccine"
95,"Education"
96,"Obituary"
97,"Urban_development"
98,"TrumpAdministration"
