Ethiopia,Ethiopian,Ethiopians,,,,
European Union,European,Europeans,,,,
Falkland Islands,Falkland Island,Falkland Islanders,,,,
Faroe Islands,Faroese,Faroese,,,,
Fiji,Fijian,Fijians,,,,
Finland,Finnish,Finns,,,,
France,French,French,,,,
Gabon,Gabonese,Gabonese,,,,
The Gambia,Gambian,Gambians,,,,
Georgia,Georgian,Georgians,,,,
Germany,German,Germans,,,,
Ghana,Ghanaian,Ghanaians,,,,
Gibraltar,Gibraltar,Gibraltarians,,,,
Greece,Greek,Greeks,,,,
Greenland,Greenland,Greenlanders,,,,
Grenada,Grenadian,Grenadians,,,,
Guadeloupe,Guadeloupe,Guadeloupians,,,,
Guam,Guamanian,Guamanians,,,,
Guatemala,Guatemalan,Guatemalans,,,,
Guernsey,Guernsey,Guernse,,,,
Guinea,Guinean,Guineans,,,,
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans,,,,
Guyana,Guyanese,Guyanese,,,,
Haiti,Haitian,Haitians,,,,
Honduras,Honduran,Hondurans,,,,
Hong Kong,Cantonese,Hongkongers,,,,
Hungary,Hungarian,Hungarians,,,,
Iceland,Icelandic,Icelanders,,,,
India,Indian,Indians,,,,
Indonesia,Indonesian,Indonesians,,,,
Iran,Iranian,Iranians,,,,
Iraq,Iraqi,Iraqis,,,,
Ireland[i],Irish,Irish,,,,
Israel,Israeli,Israelis,,,,
Israel,Israelite,Israelis,,,,
Italy,Italian,Italians,,,,
Ivory Coast,Ivorian,Ivorians,,,,
Jamaica,Jamaican,Jamaicans,,,,
Jan Mayen,Jan Mayen,Jan Mayen residents,,,,
Japan,Japanese,Japanese,,,,
Jordan,Jordanian,Jordanians,,,,
Kazakhstan,Kazakhstani,Kazakhstanis,,,,
Kazakhstan,Kazakh,Kazakhs,,,,
Kenya,Kenyan,Kenyans,,,,
Kiribati,Kiribati,I-Kiribati,,,,
North Korea,Korean,Koreans,,,,
South Korea,Korean,Koreans,,,,
Kosovo,Kosovar,Kosovars,,,,
Kuwait,Kuwaiti,Kuwaitis,,,,
Kyrgyzstan,Kyrgyzstani,Kyrgyzstanis,,,,
Laos,Lao,Laos,,,,
Laos,Laotian,Laotians,,,,
Latvia,Latvian,Latvians,,,,
Lebanon,Lebanese,Lebanese,,,,
Lesotho,Basotho,Basotho,,,,
Liberia,Liberian,Liberians,,,,
Libya,Libyan,Libyans,,,,
Liechtenstein,Liechtensteiner,Liechtensteiners,,,,
Lithuania,Lithuanian,Lithuanians,,,,
Luxembourg,Luxembourgish,Luxembourgers,,,,
Macau,Macanese,Macanese,,,,
Madagascar,Malagasy,Malagasy,,,,
Madagascar,Madagascan,Madagascans,,,,
Malawi,Malawian,Malawians,,,,
Malaysia,Malaysian,Malaysians,,,,
Maldives,Maldivian,Maldivians,,,,
Mali,Malinese,Malians,,,,
Malta,Maltese,Maltese,,,,
Marshall Islands,Marshallese,Marshallese,,,,
Martinique,Martiniquais,Martiniquais,,,,
Mauritania,Mauritanian,Mauritanians,,,,
Mauritius,Mauritian,Mauritians,,,,
Mayotte,Mahoran,Mahorans,,,,
Mexico,Mexican,Mexicans,,,,
Micronesia,Micronesian,Micronesians,,,,
Moldova,Moldovan,Moldovans,,,,
Monaco,Monacan,Monacans,,,,
Mongolia,Mongolian,Mongols,,,,
Montenegro,Montenegrin,Montenegrins,,,,
Montserrat,Montserratian,Montserratians,,,,
Morocco,Moroccan,Moroccans,,,,
Mozambique,Mozambican,Mozambicans,,,,
Myanmar,Myanma,Myanmar,,,,
Myanmar,Burmese,Myanmar,,,,
Namibia,Namibian,Namibians,,,,
Nauru,Nauruan,Nauruans,,,,
Nepal,Nepali,Nepalis,,,,
Nepal,Nepalese,Nepalese,,,,
Netherlands,Dutch,Dutch,,,,
New Caledonia,New Caledonian,New Caledonians,,,,
New Zealand,New Zealand,New Zealanders,,,,
Nicaragua,Nicaraguan,Nicaraguans,,,,
Niger,Nigerien,Nigeriens,,,,
Nigeria,Nigerian,Nigerians,,,,
Niue,Niuean,Niueans,,,,
Norfolk Island,Norfolk Island,Norfolk Islanders,,,,
North Macedonia,Macedonian,Macedonians,,,,
Northern Mariana Islands,Northern Marianan,Northern Marianans,,,,
Norway,Norwegian,Norwegians,,,,
Oman,Omani,Omanis,,,,
Pakistan,Pakistani,Pakistanis,,,,
Palau,Palauan,Palauans,,,,
Palestine,Palestinian,Palestinians,,,,
Panama,Panamanian,Panamanians,,,,
Papua New Guinea,Papuan,Papuans,,,,
Paraguay,Paraguayan,Paraguayans,,,,
Peru,Peruvian,Peruvians,,,,
Philippines,Filipino,Filipinos,,,,
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders,,,,
Poland,Polish,Poles,,,,
Portugal,Portuguese,Portuguese,,,,
Puerto Rico,Puerto Rican,Puerto Ricans,,,,
Qatar,Qatari,Qataris,,,,
Romania,Romanian,Romanians,,,,
Russia,Russian,Russians,,,,
Rwanda,Rwandan,Rwandans,,,,
Saba,Saban,Saba Dutch,,,,
Saint Barthélemy,Barthélemois,Barthélemois,,,,
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians,,,,
Saint Kitts and Nevis,Kittitian,Kittitians,,,,
Saint Lucia,Saint Lucian,Saint Lucians,,,,
Saint Martin,Saint-Martinoise,Saint-Martinois,,,,
Saint Pierre and Miquelon,Saint-Pierrais,Saint-Pierrais,,,,
Saint Vincent and the Grenadines,Vincentian,Vincentians,,,,
Sahrawi,Sahrawi,Sahrawis,,,,
Samoa,Samoan,Samoans,,,,
San Marino,Sammarinese,Sammarinese,,,,
São Tomé and Príncipe,São Toméan,São Toméans,,,,
Saudi Arabia,Saudi,Saudis,,,,
Scotland,Scottish,Scots,,,,
Senegal,Senegalese,Senegalese,,,,
Serbia,Serbian,Serbs,,,,
Seychelles,Seychellois,Seychelloises,,,,
Sierra Leone,Sierra Leonean,Sierra Leoneans,,,,
Singapore,Singaporean,Singaporeans,,,,
Sint Eustatius,Statian,Statians,,,,
Sint Maarten,Sint Maarten,Sint Maarteners,,,,
Slovakia,Slovak,Slovaks,,,,
Slovenia,Slovenian,Slovenians,,,,
Solomon Islands,Solomon Island,Solomon Islanders,,,,
Somalia,Somali,Somalis,,,,
Somaliland,Somalilander,Somalilanders,,,,
South Africa,South African,South Africans,,,,
South Ossetia,South Ossetian,South Ossetians,,,,
South Sudan,South Sudanese,South Sudanese,,,,
Spain,Spanish,Spaniards,,,,
Sri Lanka,Sri Lankan,Sri Lankans,,,,
Sudan,Sudanese,Sudanese,,,,
Suriname,Surinamese,Surinamers,,,,
Svalbard,Svalbard,Svalbard residents,,,,
Sweden,Swedish,Swedes,,,,
Switzerland,Swiss,Swiss,,,,
Syria,Syrian,Syrians,,,,
Taiwan,Taiwanese,Taiwanese,,,,
Tajikistan,Tajikistani,Tajikistanis,,,,
Tanzania,Tanzanian,Tanzanians,,,,
Thailand,Thai,Thai,,,,
Timor-Leste,Timorese,Timorese,,,,
Togo,Togolese,Togolese,,,,
Tokelau,Tokelauan,Tokelauans,,,,
Tonga,Tongan,Tongans,,,,
Trinidad and Tobago,Trinidadian,Trinidadians,,,,
Tunisia,Tunisian,Tunisians,,,,
Turkey,Turkish,Turks,,,,
Turkmenistan,Turkmen,Turkmens,,,,
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders,,,,
Tuvalu,Tuvaluan,Tuvaluans,,,,
Uganda,Ugandan,Ugandans,,,,
Ukraine,Ukrainian,Ukrainians,,,,
United Arab Emirates,Emirati,Emiratis,,,,
United Arab Emirates,Emirian,Emirians,,,,
United Arab Emirates,Emiri,Emiri,,,,
United Kingdom,British,Britons,,,,
Uruguay,Uruguayan,Uruguayans,,,,
Uzbekistan,Uzbek,Uzbeks,,,,
Vanuatu,Vanuatuan,Ni-Vanuatu,,,,
Vatican City,Vaticanian,Vaticanians,,,,
Venezuela,Venezuelan,Venezuelans,,,,
Vietnam,Vietnamese,Vietnamese,,,,
Wales,Welsh,Welshmen,,,,
Wallis and Futuna,Wallisian,Wallis and Futuna Islanders,,,,
Yemen,Yemeni,Yemenis,,,,
Zambia,Zambian,Zambians,,,,
Zanzibar,Zanzibari,Zanzibaris,,,,
Zimbabwe,Zimbabwean,Zimbabweans,,,,
